"datetime","temperatura","humidade","vento","descricao"
"2025-06-13 12:00:00",23.42,57,2.38,"scattered clouds"
"2025-06-13 15:00:00",25.61,46,2.79,"scattered clouds"
"2025-06-13 18:00:00",25.61,48,4.23,"scattered clouds"
"2025-06-13 21:00:00",19.76,94,3,"light rain"
"2025-06-14 00:00:00",17.24,93,2.1,"light rain"
"2025-06-14 03:00:00",16.33,97,1.19,"few clouds"
"2025-06-14 06:00:00",17.05,92,2.65,"scattered clouds"
"2025-06-14 09:00:00",18.92,76,5.33,"broken clouds"
"2025-06-14 12:00:00",23.66,40,6.16,"scattered clouds"
"2025-06-14 15:00:00",22.83,40,6.56,"scattered clouds"
"2025-06-14 18:00:00",19.6,50,5.79,"scattered clouds"
"2025-06-14 21:00:00",16.1,68,3.97,"scattered clouds"
"2025-06-15 00:00:00",14.13,81,2.94,"few clouds"
"2025-06-15 03:00:00",12.7,86,2.82,"clear sky"
"2025-06-15 06:00:00",13.76,74,3.99,"clear sky"
"2025-06-15 09:00:00",17.44,65,4.62,"broken clouds"
"2025-06-15 12:00:00",19.18,61,3.83,"light rain"
"2025-06-15 15:00:00",22.47,41,3.45,"broken clouds"
"2025-06-15 18:00:00",19.94,54,4.14,"broken clouds"
"2025-06-15 21:00:00",17.11,75,2.51,"scattered clouds"
"2025-06-16 00:00:00",15,79,1.75,"few clouds"
"2025-06-16 03:00:00",13.56,84,1.43,"clear sky"
"2025-06-16 06:00:00",15.38,75,1.51,"clear sky"
"2025-06-16 09:00:00",20.62,51,1.29,"clear sky"
"2025-06-16 12:00:00",24.14,40,2,"few clouds"
"2025-06-16 15:00:00",26.06,34,1.77,"broken clouds"
"2025-06-16 18:00:00",24.39,42,1.85,"scattered clouds"
"2025-06-16 21:00:00",20.81,60,2.23,"overcast clouds"
"2025-06-17 00:00:00",17.65,75,2.46,"broken clouds"
"2025-06-17 03:00:00",16.27,78,1.64,"clear sky"
"2025-06-17 06:00:00",17.63,68,2.03,"clear sky"
"2025-06-17 09:00:00",22.28,50,2.4,"clear sky"
"2025-06-17 12:00:00",26.08,35,2.53,"clear sky"
"2025-06-17 15:00:00",26.79,31,3.31,"overcast clouds"
"2025-06-17 18:00:00",25.65,33,3.43,"overcast clouds"
"2025-06-17 21:00:00",21.37,51,1.46,"scattered clouds"
"2025-06-18 00:00:00",19.03,59,1.69,"broken clouds"
"2025-06-18 03:00:00",16.61,64,1.72,"broken clouds"
"2025-06-18 06:00:00",17.22,68,2.12,"scattered clouds"
"2025-06-18 09:00:00",21.88,51,2.51,"clear sky"
