"datetime","temperatura","humidade","vento","descricao"
"2025-06-13 12:00:00",23.32,61,1.68,"overcast clouds"
"2025-06-13 15:00:00",21.21,63,1.51,"overcast clouds"
"2025-06-13 18:00:00",18.55,71,0.97,"overcast clouds"
"2025-06-13 21:00:00",18.67,73,2.44,"overcast clouds"
"2025-06-14 00:00:00",23.71,65,1.37,"overcast clouds"
"2025-06-14 03:00:00",29.52,46,1.94,"broken clouds"
"2025-06-14 06:00:00",33.25,35,0.53,"scattered clouds"
"2025-06-14 09:00:00",30.86,41,3.93,"clear sky"
"2025-06-14 12:00:00",27.15,54,2.14,"clear sky"
"2025-06-14 15:00:00",25.24,63,1.74,"clear sky"
"2025-06-14 18:00:00",23.7,69,2.07,"clear sky"
"2025-06-14 21:00:00",23.05,71,1.43,"scattered clouds"
"2025-06-15 00:00:00",26.71,57,2.09,"broken clouds"
"2025-06-15 03:00:00",30.71,45,3.38,"overcast clouds"
"2025-06-15 06:00:00",30.26,51,6.13,"overcast clouds"
"2025-06-15 09:00:00",24.06,87,3.85,"moderate rain"
"2025-06-15 12:00:00",22.76,92,3.65,"light rain"
"2025-06-15 15:00:00",21.68,93,2.66,"light rain"
"2025-06-15 18:00:00",21.31,94,2.03,"overcast clouds"
"2025-06-15 21:00:00",21.73,91,1.38,"light rain"
"2025-06-16 00:00:00",24.58,71,3.2,"light rain"
"2025-06-16 03:00:00",25.76,68,8.18,"light rain"
"2025-06-16 06:00:00",23.35,74,7.97,"light rain"
"2025-06-16 09:00:00",21.13,83,6.36,"light rain"
"2025-06-16 12:00:00",20,90,5.66,"light rain"
"2025-06-16 15:00:00",19.84,87,4.7,"light rain"
"2025-06-16 18:00:00",19.83,86,4.34,"overcast clouds"
"2025-06-16 21:00:00",19.98,85,2.78,"overcast clouds"
"2025-06-17 00:00:00",21.01,82,2.93,"light rain"
"2025-06-17 03:00:00",25.92,54,2.98,"overcast clouds"
"2025-06-17 06:00:00",29.38,42,3.66,"scattered clouds"
"2025-06-17 09:00:00",26.99,50,3.71,"clear sky"
"2025-06-17 12:00:00",23.62,68,2.02,"clear sky"
"2025-06-17 15:00:00",22.16,73,1.75,"clear sky"
"2025-06-17 18:00:00",21.1,77,0.65,"clear sky"
"2025-06-17 21:00:00",20.8,78,1.06,"clear sky"
"2025-06-18 00:00:00",26.26,51,1.03,"clear sky"
"2025-06-18 03:00:00",32.05,33,1.84,"clear sky"
"2025-06-18 06:00:00",34.04,29,4.64,"clear sky"
"2025-06-18 09:00:00",29.07,47,4.66,"clear sky"
