"datetime","temperatura","humidade","vento","descricao"
"2025-06-13 12:00:00",20.91,55,1.97,"light rain"
"2025-06-13 15:00:00",22.97,45,1.8,"light rain"
"2025-06-13 18:00:00",25.88,40,3.36,"overcast clouds"
"2025-06-13 21:00:00",24.93,45,4.58,"overcast clouds"
"2025-06-14 00:00:00",21.98,53,4.33,"overcast clouds"
"2025-06-14 03:00:00",20.32,60,4.06,"overcast clouds"
"2025-06-14 06:00:00",19.65,66,2.64,"overcast clouds"
"2025-06-14 09:00:00",18.58,73,3.77,"light rain"
"2025-06-14 12:00:00",16.96,91,5.4,"moderate rain"
"2025-06-14 15:00:00",16.9,94,5.16,"heavy intensity rain"
"2025-06-14 18:00:00",16.65,92,5.37,"light rain"
"2025-06-14 21:00:00",16.7,91,4.52,"light rain"
"2025-06-15 00:00:00",16.73,89,4.95,"light rain"
"2025-06-15 03:00:00",16.22,88,4.61,"light rain"
"2025-06-15 06:00:00",15.72,86,4.37,"overcast clouds"
"2025-06-15 09:00:00",15.43,84,4.09,"overcast clouds"
"2025-06-15 12:00:00",15.68,80,4.18,"overcast clouds"
"2025-06-15 15:00:00",16.61,76,3.97,"overcast clouds"
"2025-06-15 18:00:00",19.1,69,3.34,"overcast clouds"
"2025-06-15 21:00:00",19.45,70,3.36,"overcast clouds"
"2025-06-16 00:00:00",18.27,76,3.35,"overcast clouds"
"2025-06-16 03:00:00",17.32,80,3.21,"overcast clouds"
"2025-06-16 06:00:00",17.06,82,3.34,"overcast clouds"
"2025-06-16 09:00:00",16.97,84,3.37,"light rain"
"2025-06-16 12:00:00",16.67,87,4.01,"light rain"
"2025-06-16 15:00:00",16.34,94,4.13,"moderate rain"
"2025-06-16 18:00:00",16.64,94,4.45,"moderate rain"
"2025-06-16 21:00:00",16.96,95,3.91,"moderate rain"
"2025-06-17 00:00:00",17.09,94,3.69,"light rain"
"2025-06-17 03:00:00",17.16,95,3.47,"light rain"
"2025-06-17 06:00:00",17.01,95,2.97,"light rain"
"2025-06-17 09:00:00",17.32,95,2.75,"overcast clouds"
"2025-06-17 12:00:00",18.13,92,3.05,"overcast clouds"
"2025-06-17 15:00:00",20.94,80,2.34,"overcast clouds"
"2025-06-17 18:00:00",25.38,63,0.16,"overcast clouds"
"2025-06-17 21:00:00",24.76,66,2.69,"overcast clouds"
"2025-06-18 00:00:00",22.5,79,3.58,"overcast clouds"
"2025-06-18 03:00:00",22.27,83,2.22,"overcast clouds"
"2025-06-18 06:00:00",21.99,82,2.86,"overcast clouds"
"2025-06-18 09:00:00",21.42,87,2.57,"overcast clouds"
