"datetime","temperatura","humidade","vento","descricao"
"2025-06-13 12:00:00",28.21,82,2.5,"broken clouds"
"2025-06-13 15:00:00",26.98,88,1.13,"overcast clouds"
"2025-06-13 18:00:00",24.25,96,1.41,"broken clouds"
"2025-06-13 21:00:00",24.41,93,1.61,"scattered clouds"
"2025-06-14 00:00:00",29.67,76,2.18,"broken clouds"
"2025-06-14 03:00:00",31.25,63,3.04,"overcast clouds"
"2025-06-14 06:00:00",29.47,70,3.18,"light rain"
"2025-06-14 09:00:00",29.47,69,4.91,"overcast clouds"
"2025-06-14 12:00:00",27.49,81,3.74,"overcast clouds"
"2025-06-14 15:00:00",26.37,78,3.01,"scattered clouds"
"2025-06-14 18:00:00",25.46,82,3.06,"scattered clouds"
"2025-06-14 21:00:00",25.02,84,1.99,"overcast clouds"
"2025-06-15 00:00:00",28.56,67,3.53,"overcast clouds"
"2025-06-15 03:00:00",28.22,72,2.98,"light rain"
"2025-06-15 06:00:00",29.32,68,5.32,"light rain"
"2025-06-15 09:00:00",26.78,80,5.18,"light rain"
"2025-06-15 12:00:00",25.51,85,3.2,"overcast clouds"
"2025-06-15 15:00:00",25.09,83,3.89,"overcast clouds"
"2025-06-15 18:00:00",23.99,84,6.35,"overcast clouds"
"2025-06-15 21:00:00",21.89,79,7.05,"overcast clouds"
"2025-06-16 00:00:00",22.8,75,6.41,"overcast clouds"
"2025-06-16 03:00:00",24.28,66,6.28,"overcast clouds"
"2025-06-16 06:00:00",28.29,52,6.83,"broken clouds"
"2025-06-16 09:00:00",27.72,57,6.39,"clear sky"
"2025-06-16 12:00:00",24.64,69,5.42,"clear sky"
"2025-06-16 15:00:00",23.6,72,5.04,"scattered clouds"
"2025-06-16 18:00:00",22.82,77,3.43,"scattered clouds"
"2025-06-16 21:00:00",22.15,80,2.29,"clear sky"
"2025-06-17 00:00:00",27.12,59,1.11,"clear sky"
"2025-06-17 03:00:00",31.8,41,2.45,"clear sky"
"2025-06-17 06:00:00",34.07,33,2.79,"clear sky"
"2025-06-17 09:00:00",33.48,37,4.51,"clear sky"
"2025-06-17 12:00:00",27.43,51,3.62,"clear sky"
"2025-06-17 15:00:00",24.94,71,3.12,"clear sky"
"2025-06-17 18:00:00",23.83,80,2.32,"clear sky"
"2025-06-17 21:00:00",22.97,83,1.86,"broken clouds"
"2025-06-18 00:00:00",27.51,60,2.85,"broken clouds"
"2025-06-18 03:00:00",32.99,39,2.88,"overcast clouds"
"2025-06-18 06:00:00",35.06,33,3.9,"overcast clouds"
"2025-06-18 09:00:00",33.86,39,5.21,"scattered clouds"
