datetime,temperatura,humidade,vento,descricao,cidade
2025-06-13T12:00:00Z,23.32,61,1.68,overcast clouds,Seoul
2025-06-13T15:00:00Z,21.21,63,1.51,overcast clouds,Seoul
2025-06-13T18:00:00Z,18.55,71,0.97,overcast clouds,Seoul
2025-06-13T21:00:00Z,18.67,73,2.44,overcast clouds,Seoul
NA,23.71,65,1.37,overcast clouds,Seoul
2025-06-14T03:00:00Z,29.52,46,1.94,broken clouds,Seoul
2025-06-14T06:00:00Z,33.25,35,0.53,scattered clouds,Seoul
2025-06-14T09:00:00Z,30.86,41,3.93,clear sky,Seoul
2025-06-14T12:00:00Z,27.15,54,2.14,clear sky,Seoul
2025-06-14T15:00:00Z,25.24,63,1.74,clear sky,Seoul
2025-06-14T18:00:00Z,23.7,69,2.07,clear sky,Seoul
2025-06-14T21:00:00Z,23.05,71,1.43,scattered clouds,Seoul
NA,26.71,57,2.09,broken clouds,Seoul
2025-06-15T03:00:00Z,30.71,45,3.38,overcast clouds,Seoul
2025-06-15T06:00:00Z,30.26,51,6.13,overcast clouds,Seoul
2025-06-15T09:00:00Z,24.06,87,3.85,moderate rain,Seoul
2025-06-15T12:00:00Z,22.76,92,3.65,light rain,Seoul
2025-06-15T15:00:00Z,21.68,93,2.66,light rain,Seoul
2025-06-15T18:00:00Z,21.31,94,2.03,overcast clouds,Seoul
2025-06-15T21:00:00Z,21.73,91,1.38,light rain,Seoul
NA,24.58,71,3.2,light rain,Seoul
2025-06-16T03:00:00Z,25.76,68,8.18,light rain,Seoul
2025-06-16T06:00:00Z,23.35,74,7.97,light rain,Seoul
2025-06-16T09:00:00Z,21.13,83,6.36,light rain,Seoul
2025-06-16T12:00:00Z,20,90,5.66,light rain,Seoul
2025-06-16T15:00:00Z,19.84,87,4.7,light rain,Seoul
2025-06-16T18:00:00Z,19.83,86,4.34,overcast clouds,Seoul
2025-06-16T21:00:00Z,19.98,85,2.78,overcast clouds,Seoul
NA,21.01,82,2.93,light rain,Seoul
2025-06-17T03:00:00Z,25.92,54,2.98,overcast clouds,Seoul
2025-06-17T06:00:00Z,29.38,42,3.66,scattered clouds,Seoul
2025-06-17T09:00:00Z,26.99,50,3.71,clear sky,Seoul
2025-06-17T12:00:00Z,23.62,68,2.02,clear sky,Seoul
2025-06-17T15:00:00Z,22.16,73,1.75,clear sky,Seoul
2025-06-17T18:00:00Z,21.1,77,0.65,clear sky,Seoul
