.pred,rented_bike_count,temperature_c,humidity_percent,wind_speed_m_s,hour,seasons,holiday
341.3908397551111,360,-0.5,21,1.3,11,Winter,No Holiday
879.7786964723022,862,0.6,66,1.4,18,Winter,No Holiday
12.59227639300807,323,-1.3,84,1,23,Winter,No Holiday
-447.85877091724257,89,-3.8,79,2,4,Winter,No Holiday
367.79948087187626,219,-4.2,79,2.1,8,Winter,No Holiday
340.29636286843316,479,4.3,41,1.3,12,Winter,No Holiday
487.4770741770176,589,7.6,41,2.3,15,Winter,No Holiday
710.3235725463793,572,6,51,2.5,17,Winter,No Holiday
1112.8957225335823,489,5.5,53,1.5,18,Winter,No Holiday
720.14506995714,377,4.1,55,1.2,21,Winter,No Holiday
386.7848711640521,366,4,56,1,23,Winter,No Holiday
474.1524162320744,397,5.2,87,1.4,20,Winter,No Holiday
459.237759968021,385,4.7,87,1.2,21,Winter,No Holiday
-76.48436416429941,186,4.3,87,0.5,1,Winter,No Holiday
233.60612967980802,498,0.2,68,3.4,7,Winter,No Holiday
250.51616437159302,393,-0.3,38,4.8,12,Winter,No Holiday
311.2916184578808,391,0,30,5.4,13,Winter,No Holiday
346.9522627552807,338,0.1,27,4.5,14,Winter,No Holiday
743.3125618294591,515,-1.3,26,5.3,17,Winter,No Holiday
495.42147482902425,353,-5.3,45,2.5,22,Winter,No Holiday
-75.56070191956874,124,-6.8,41,2.5,2,Winter,No Holiday
333.45379370322854,381,-7.5,33,2.2,7,Winter,No Holiday
297.3972787874148,325,-1.6,27,0,13,Winter,No Holiday
308.72372170317493,334,-1.1,28,0,14,Winter,No Holiday
1021.9861360358896,789,-2.6,40,0,18,Winter,No Holiday
608.1397989143007,418,-3.5,46,0,20,Winter,No Holiday
527.2793435879377,393,-2.8,49,0,22,Winter,No Holiday
197.1130200730036,244,-2.5,59,0,23,Winter,No Holiday
-301.59285888510897,117,-3,79,0,2,Winter,No Holiday
54.61122538202194,440,-3.3,70,0,9,Winter,No Holiday
586.6664048901517,239,4.1,60,2.5,17,Winter,No Holiday
315.2519711089695,190,1.2,94,0.6,20,Winter,No Holiday
-188.86355128691932,218,1.5,92,0.4,1,Winter,No Holiday
-355.6773936618846,102,1.9,91,1.4,3,Winter,No Holiday
353.831286893188,394,4.1,37,3.1,13,Winter,No Holiday
452.11467821746726,430,4,35,3.1,15,Winter,No Holiday
638.6919737506843,402,-2.2,46,2.2,21,Winter,No Holiday
255.92509741866425,259,-3.2,50,2.1,23,Winter,No Holiday
160.3265741489734,233,-3.5,49,2.6,0,Winter,No Holiday
-294.2358046662839,84,-5.8,56,2,5,Winter,No Holiday
154.0390703305544,387,-6.5,57,0.8,7,Winter,No Holiday
465.72460764706705,780,-7,59,0.8,8,Winter,No Holiday
716.3750112082511,384,-3.3,34,1.5,20,Winter,No Holiday
705.1836797223524,336,-3.3,35,0.5,21,Winter,No Holiday
-202.37363656372088,96,-4.3,49,0.7,4,Winter,No Holiday
302.153002593752,427,2.4,40,0.8,12,Winter,No Holiday
1142.776054841851,384,2.5,41,1,18,Winter,No Holiday
778.8332223126336,275,1.5,48,0.4,19,Winter,No Holiday
13.047716342356534,243,0.2,52,0.7,2,Winter,No Holiday
-234.43112877146396,58,0.9,92,0.9,11,Winter,No Holiday
292.9371256182508,214,5.4,71,3.5,16,Winter,No Holiday
957.6461278234998,210,2,61,3,18,Winter,No Holiday
272.3307966359517,125,-2.5,39,3.4,0,Winter,No Holiday
20.666928056753754,136,-5.9,39,2.9,6,Winter,No Holiday
153.72948035325544,241,-5.4,32,5.1,13,Winter,No Holiday
-172.18531669210742,127,-11.2,51,1.1,1,Winter,No Holiday
511.44461728737787,260,-8.4,42,1,20,Winter,No Holiday
-383.6491080781524,79,-10.9,55,1.8,3,Winter,No Holiday
157.6669832673441,267,-6.5,30,2.9,12,Winter,No Holiday
147.33325513803902,174,-9.2,44,0.4,23,Winter,No Holiday
-8.876110519090233,171,-9.5,50,0.6,0,Winter,No Holiday
33.74338509657962,279,-10.9,57,1.1,7,Winter,No Holiday
701.1052835471805,410,-4.2,40,0.9,19,Winter,No Holiday
151.79998405670727,309,-2.5,43,0.7,12,Winter,No Holiday
755.3645274279224,320,0.9,42,1.2,20,Winter,No Holiday
218.93444962622786,247,-1.3,60,2.5,23,Winter,No Holiday
-279.19884157152745,228,-4.1,73,2.1,2,Winter,No Holiday
378.7450888440865,291,-3.3,22,5,15,Winter,No Holiday
478.66570653393075,258,-3.3,24,3.5,16,Winter,No Holiday
657.9280661520884,277,-4.6,26,2.6,17,Winter,No Holiday
-265.16104821031155,41,-9.5,40,1.9,4,Winter,No Holiday
182.06181313894584,53,-10.2,42,2.3,7,Winter,No Holiday
35.409171795662786,142,-8.5,31,1.5,10,Winter,No Holiday
243.45197771760687,216,-4.9,25,2.6,12,Winter,No Holiday
270.90905511412177,268,-3.2,26,3.1,14,Winter,No Holiday
534.2675045676227,168,-6.5,45,0.7,21,Winter,No Holiday
-233.69661282445497,38,-5,65,0.4,2,Winter,No Holiday
-47.0498892482621,96,-5,85,0.7,7,Winter,No Holiday
161.88018261943103,181,1.8,76,0.8,16,Winter,No Holiday
532.8331479812779,148,2.8,73,2.4,21,Winter,No Holiday
298.41308154235105,189,-2.2,25,3.2,13,Winter,No Holiday
457.4262308536548,211,-1.8,31,3.1,16,Winter,No Holiday
630.4029091056947,256,-2.7,35,1.8,17,Winter,No Holiday
598.2242912881417,276,-4.5,51,2,19,Winter,No Holiday
418.1254915679242,190,-1.5,81,1.8,19,Winter,No Holiday
325.46265668134356,197,-2,83,1.2,21,Winter,No Holiday
-358.624873455878,132,-2.2,88,1.4,2,Winter,No Holiday
288.922982073646,285,3.2,42,1.8,13,Winter,No Holiday
433.8808906633992,301,4.1,51,1.8,16,Winter,No Holiday
924.6908987982363,531,1.7,64,1.3,18,Winter,No Holiday
479.43180083266526,288,0.2,72,0.7,20,Winter,No Holiday
20.05788272319945,298,0.3,67,0.7,9,Winter,Holiday
-142.27484334427177,248,1.4,64,1,10,Winter,Holiday
-30.96778558992992,278,3.1,57,0.8,11,Winter,Holiday
97.32850337029234,326,5.9,55,0.6,14,Winter,Holiday
579.3651439652418,481,5.2,64,0.7,19,Winter,Holiday
60.60990732168688,337,5.7,75,1.7,1,Winter,No Holiday
-217.92990640601982,120,5.3,79,0.9,4,Winter,No Holiday
-21.297367517165746,282,5.7,81,1.1,11,Winter,No Holiday
567.2619915651818,279,5.6,77,0.9,21,Winter,No Holiday
-120.25627246059939,251,5.6,78,0.5,1,Winter,Holiday
-349.6696283153221,149,5.2,82,0.8,3,Winter,Holiday
-399.02754888459634,79,5.2,82,0.7,4,Winter,Holiday
-264.7451292931368,7,3.7,90,0.7,13,Winter,Holiday
621.1346288728529,128,1.9,82,4.3,18,Winter,Holiday
379.1544237858148,116,0.6,67,3.3,20,Winter,Holiday
73.27466083219481,128,0,63,3.2,23,Winter,Holiday
-280.0450975759027,100,-2.3,52,3.4,3,Winter,Holiday
-348.64276618780656,32,-3.7,51,2.6,5,Winter,Holiday
497.63241330907573,94,-4.9,44,3,8,Winter,Holiday
147.46063680311815,274,-0.4,31,2,14,Winter,Holiday
395.4659594847376,272,0.4,27,2,16,Winter,Holiday
954.8072001293309,237,-1.6,33,2,18,Winter,Holiday
601.905152768181,184,-1.8,41,2.1,19,Winter,Holiday
455.78065727378777,185,-1.7,51,1.7,21,Winter,Holiday
582.6948974146667,220,-6.6,39,3.2,21,Winter,No Holiday
-89.67949346121193,93,-8.6,37,1.5,2,Winter,No Holiday
-193.98671988194292,55,-9.1,33,2.3,4,Winter,No Holiday
668.5675738656482,314,-4.2,26,2.2,17,Winter,No Holiday
268.91345695849907,216,-6.3,39,0.9,23,Winter,No Holiday
56.982760678041984,169,-6.6,39,1.4,1,Winter,No Holiday
-50.26814616937098,61,-5.7,28,1.2,5,Winter,No Holiday
238.59879646745736,286,-0.8,38,1,12,Winter,No Holiday
194.6518518134522,301,0.8,46,1.4,13,Winter,No Holiday
883.6936476849882,552,-0.6,62,1.6,18,Winter,No Holiday
552.6044737933764,332,-0.2,62,0.6,21,Winter,No Holiday
-54.56902994859762,128,0.8,68,0.6,6,Winter,No Holiday
253.3521014391858,419,5.7,54,3.5,14,Winter,No Holiday
87.90803673682537,236,0.3,80,0.8,23,Winter,No Holiday
-162.0170898559951,234,-0.5,83,0.7,1,Winter,No Holiday
-290.52912619716824,192,-0.9,84,0.6,2,Winter,No Holiday
-388.83939277469545,52,-1.2,81,0.8,5,Winter,No Holiday
115.30707017496543,274,3.2,64,0.8,12,Winter,No Holiday
-393.14432464824006,43,0.5,95,2.1,1,Winter,Holiday
-566.36319494442,22,-0.8,85,2.8,5,Winter,Holiday
-131.91369984360392,142,0.8,62,2.8,11,Winter,Holiday
169.94237151190848,267,2.5,36,3.7,13,Winter,Holiday
363.0086316470108,300,3.1,25,3.9,15,Winter,Holiday
-25.525694551234707,230,-3.3,41,0.7,1,Winter,Holiday
-387.1573378882824,62,-4.2,53,1.1,4,Winter,Holiday
298.5771678839655,225,1.5,20,2.8,12,Winter,Holiday
288.3286453707744,248,2.4,22,2.3,13,Winter,Holiday
310.38884783457814,298,3.7,24,2.1,14,Winter,Holiday
343.53499952425574,344,3,27,2.9,15,Winter,Holiday
1007.4028287389942,218,0.8,34,1.9,18,Winter,Holiday
589.2974864083432,206,-0.3,40,1.2,20,Winter,Holiday
536.7263096260989,203,-0.9,44,1.2,21,Winter,Holiday
136.2382189900004,154,-1.6,51,0.7,23,Winter,Holiday
29.363703319766454,108,-2.1,56,0.8,1,Winter,No Holiday
-148.59372854560885,139,-3.2,67,0.4,6,Winter,No Holiday
138.1366325506523,344,-3.2,69,0.5,7,Winter,No Holiday
94.23499959172527,315,-3.1,66,0.2,9,Winter,No Holiday
1205.6630321570028,675,-0.8,24,2.3,18,Winter,No Holiday
648.875494990036,273,-3.4,33,2.4,22,Winter,No Holiday
73.88874510998397,130,-5,42,1.2,1,Winter,No Holiday
185.31353864725483,342,-6.8,44,1.7,9,Winter,No Holiday
53.00309796001421,213,-5.6,38,2.9,10,Winter,No Holiday
246.94442336578837,279,-2.2,31,2.3,13,Winter,No Holiday
502.190009357061,299,-0.4,30,2,16,Winter,No Holiday
614.3175320206135,294,-3.9,44,2.5,20,Winter,No Holiday
575.0897804639002,335,-4.3,47,2.8,21,Winter,No Holiday
429.45296209803945,291,-5.2,53,1.3,22,Winter,No Holiday
-93.81228708151353,120,-7.6,47,2.3,6,Winter,No Holiday
162.54946040889342,302,-8.1,51,0.5,7,Winter,No Holiday
442.18451493150735,309,-1.4,34,1.8,16,Winter,No Holiday
686.3121108595952,311,-2.8,39,1.7,20,Winter,No Holiday
103.09823050761582,202,-4.7,52,1.8,0,Winter,No Holiday
-266.88754095541634,75,-5.1,55,1.5,5,Winter,No Holiday
220.46675349920113,327,-5.3,53,1.1,7,Winter,No Holiday
503.0185907724064,329,1,34,2.9,16,Winter,No Holiday
113.70203490205482,184,-4.3,52,1.6,0,Winter,No Holiday
-247.7874872771592,103,-5.6,56,1,3,Winter,No Holiday
192.45085202868728,245,-1.6,35,2.1,11,Winter,No Holiday
373.1188337115342,370,1.8,29,2,14,Winter,No Holiday
622.6149970890032,214,-2.5,47,0.8,21,Winter,No Holiday
256.21452726869245,169,-3.2,50,0.8,23,Winter,No Holiday
161.49789014280432,192,-3.8,48,0.7,0,Winter,No Holiday
313.22116987559036,265,1.4,34,0.8,13,Winter,No Holiday
800.053773015738,233,1.3,38,0.4,20,Winter,No Holiday
787.2807967281451,701,0.7,45,0.7,8,Winter,No Holiday
444.88906837462855,146,0.7,77,6.7,21,Winter,No Holiday
437.17609898348485,149,0.1,68,4.6,22,Winter,No Holiday
64.4991302792815,100,-1.2,67,4.6,0,Winter,No Holiday
-289.31245292477246,38,-4.3,59,4.4,4,Winter,No Holiday
169.5909381500748,245,-5.9,57,3.1,7,Winter,No Holiday
448.97215769487696,554,-6,64,3.2,8,Winter,No Holiday
143.49663262423482,265,-1.8,45,3.7,14,Winter,No Holiday
835.2668722618811,558,-3.8,58,1.7,18,Winter,No Holiday
-226.3470611369478,78,-5.6,75,1.7,1,Winter,No Holiday
1.3595623350491017,158,-8,70,1.8,7,Winter,No Holiday
-111.05580953381252,150,-6.9,53,3.2,10,Winter,No Holiday
60.81580748313127,217,-5.6,44,4.5,12,Winter,No Holiday
120.37230761224558,177,-5.3,37,5.3,14,Winter,No Holiday
371.5409074571712,196,-5.4,30,3.9,16,Winter,No Holiday
324.6215711220368,165,-9.7,51,2.8,22,Winter,No Holiday
-467.08938482548115,33,-11.5,57,2.3,4,Winter,No Holiday
-35.282093347044885,227,-12,53,2.6,9,Winter,No Holiday
-89.21045332041396,146,-10.2,41,3.5,11,Winter,No Holiday
-286.55003470746993,83,-13.8,43,2.6,2,Winter,No Holiday
-442.78818288911566,30,-14.3,45,2,4,Winter,No Holiday
-442.67869322452054,35,-14.6,45,1.1,5,Winter,No Holiday
-5.301485276384369,196,-14.9,40,1.2,9,Winter,No Holiday
-30.61646274017025,140,-11.2,31,2.4,11,Winter,No Holiday
104.9185181256058,177,-8.2,29,2,13,Winter,No Holiday
283.92315423659625,144,-6.7,36,1.3,23,Winter,No Holiday
-55.84838704005983,145,-6.4,40,0.9,2,Winter,No Holiday
-151.22574134297503,77,-6.5,42,0.7,3,Winter,No Holiday
-264.2811791007448,40,-6.3,51,0.8,5,Winter,No Holiday
414.7228129766,167,-3.3,76,0.8,19,Winter,No Holiday
-449.70872539070206,29,-4.2,79,1.2,5,Winter,No Holiday
117.13587652541112,226,1.2,58,0.8,12,Winter,No Holiday
338.10600173144894,353,4.6,50,0.9,15,Winter,No Holiday
786.5518838839661,208,3.9,54,1.1,19,Winter,No Holiday
708.2517785118735,210,3.5,55,1,20,Winter,No Holiday
98.89139557997683,303,3.9,86,1.7,9,Winter,No Holiday
5.846212245291065,254,4.7,75,2.3,11,Winter,No Holiday
508.69499617304916,349,7.4,38,1.7,15,Winter,No Holiday
636.6704750862623,365,7.5,37,0.9,16,Winter,No Holiday
807.3860885477476,444,4.4,53,1.2,19,Winter,No Holiday
601.8363723132564,650,1.2,68,0.6,8,Winter,No Holiday
77.60459160368393,221,2.7,60,0.5,10,Winter,No Holiday
267.5138715389661,276,5.2,52,1.2,12,Winter,No Holiday
484.0256170903738,277,5.8,50,0.9,16,Winter,No Holiday
631.0854848714501,381,5.2,58,0.8,17,Winter,No Holiday
777.8671370323533,409,4.6,57,1,19,Winter,No Holiday
706.9848072507356,332,4.5,58,0.8,20,Winter,No Holiday
97.03538581052194,183,3.3,64,0.4,1,Winter,No Holiday
509.1382055880891,314,8.3,54,1.2,16,Winter,No Holiday
673.0549738544689,360,4.2,68,2.4,19,Winter,No Holiday
531.9374693645436,320,3.1,74,1.1,21,Winter,No Holiday
448.5814747540678,269,4.2,36,2.3,15,Winter,No Holiday
838.9801774410694,365,1.5,41,1,19,Winter,No Holiday
743.1784852663366,303,1.1,44,1.2,20,Winter,No Holiday
724.1389616974352,339,0.8,45,1.5,21,Winter,No Holiday
-5.547065500203206,93,-0.6,43,1.7,3,Winter,No Holiday
42.530495202779285,151,-1.8,49,1.4,6,Winter,No Holiday
276.59254717168875,255,0,29,1.3,10,Winter,No Holiday
418.2466165054954,283,2.2,20,0.6,11,Winter,No Holiday
572.5016073413491,381,5.4,25,2.4,15,Winter,No Holiday
685.5467053738354,342,1.2,51,0.6,20,Winter,No Holiday
248.3853766702955,236,-0.5,59,0.9,23,Winter,No Holiday
686.0219411263937,377,5.7,53,1.8,17,Winter,No Holiday
924.0335744709685,383,3.8,20,1.3,17,Winter,No Holiday
971.6781530713133,223,1.3,25,1.3,19,Winter,No Holiday
737.8875793421274,207,-0.3,32,0.7,22,Winter,No Holiday
284.81448763962237,97,-0.2,32,0.7,1,Winter,No Holiday
55.37172090474993,31,0,32,0.4,4,Winter,No Holiday
63.79201922512865,60,0,32,0.7,5,Winter,No Holiday
863.707261826456,683,-0.7,32,0.5,8,Winter,No Holiday
383.92930106797064,281,3.9,33,0.6,13,Winter,No Holiday
71.90597966935556,18,2,87,1.9,16,Winter,No Holiday
233.30869033677666,43,1.3,93,1.2,17,Winter,No Holiday
341.52079059582553,181,-0.8,85,2.9,20,Winter,No Holiday
-128.53978009890304,96,-5.3,77,3.8,0,Winter,No Holiday
-343.1989292733145,45,-9.5,49,4.3,4,Winter,No Holiday
74.25812566425924,228,-13.3,36,3.5,9,Winter,No Holiday
-90.5104225273312,132,-12.1,34,3.5,10,Winter,No Holiday
42.47560530557544,169,-10.4,30,4.3,14,Winter,No Holiday
428.2120872930101,248,-12,47,3.2,19,Winter,No Holiday
311.26994915542946,178,-12.5,52,3,20,Winter,No Holiday
-334.2101103495969,34,-15.6,29,3.7,5,Winter,No Holiday
-165.45162629373658,71,-15.7,29,2.5,6,Winter,No Holiday
458.00662654611057,364,-16.2,30,1.6,8,Winter,No Holiday
33.46630338265472,140,-12,25,6,13,Winter,No Holiday
57.589048707868166,125,-11.1,26,3.8,14,Winter,No Holiday
389.7701185799722,125,-14.3,37,1.3,20,Winter,No Holiday
-408.65331755659366,34,-15.8,37,2.7,5,Winter,No Holiday
434.6048554422164,349,-16.4,32,3.3,8,Winter,No Holiday
-52.41629300618654,122,-13.8,25,3.5,11,Winter,No Holiday
155.5932663661058,130,-9.7,28,3.7,15,Winter,No Holiday
324.85179080945215,113,-14.6,35,2.5,22,Winter,No Holiday
-344.8604444179065,41,-15.9,34,2.9,3,Winter,No Holiday
325.041915596306,322,-17.8,40,2.5,8,Winter,No Holiday
-207.5413466453228,96,-16.5,33,3.4,10,Winter,No Holiday
-61.203918814450425,111,-14.4,30,2.7,12,Winter,No Holiday
281.95011041167425,108,-14.6,40,1.8,22,Winter,No Holiday
-488.41448973722805,36,-15.3,47,0.8,4,Winter,No Holiday
-465.5835686951119,25,-15.4,45,0.8,5,Winter,No Holiday
-308.5280200971883,33,-15.3,47,0.7,6,Winter,No Holiday
225.72418771643734,84,-15.9,58,0.9,8,Winter,No Holiday
-88.5256872175593,105,-15.1,49,1.1,9,Winter,No Holiday
256.1758558071656,193,-4.1,25,2,14,Winter,No Holiday
582.1681765660602,103,-7.9,35,2.6,21,Winter,No Holiday
207.99186087580964,103,-7.6,42,1.2,23,Winter,No Holiday
-188.55806971308655,72,-7.8,51,1.9,2,Winter,No Holiday
-244.1173111444485,67,-7.7,49,1.8,3,Winter,No Holiday
-141.74311126255787,21,-7.5,33,1.5,5,Winter,No Holiday
177.86773122720228,81,-8.7,42,2.1,23,Winter,No Holiday
-98.97324050701218,62,-9.8,47,1.3,1,Winter,No Holiday
386.0140860019184,195,-5.5,28,4.3,16,Winter,No Holiday
527.246087065557,182,-7.7,42,2.9,21,Winter,No Holiday
444.00507843121477,172,-8.8,40,3,22,Winter,No Holiday
-32.013482676828474,170,-7.5,42,0.9,10,Winter,No Holiday
153.2490831118434,238,-1.1,46,2.1,14,Winter,No Holiday
327.01459864410396,59,-1.7,91,1.1,19,Winter,No Holiday
272.1575171794691,72,-1.5,91,1.7,20,Winter,No Holiday
245.4899857747803,73,-1.7,85,1.2,22,Winter,No Holiday
-258.00005387405895,63,-3.1,80,0.7,6,Winter,No Holiday
349.20201035504147,273,-3.6,83,1.7,8,Winter,No Holiday
382.76307415019505,214,-0.5,30,2.3,15,Winter,No Holiday
787.4846763578117,270,-2.2,36,2.2,19,Winter,No Holiday
717.0351527305816,229,-2.6,36,3.1,20,Winter,No Holiday
659.4226479690597,229,-3.4,40,0.9,21,Winter,No Holiday
-40.181686615350614,149,-5.4,54,1.7,1,Winter,No Holiday
-144.01885682553984,103,-5.5,53,2.1,2,Winter,No Holiday
-337.5552593666966,37,-7.1,56,1.8,4,Winter,No Holiday
336.6384058837863,233,0.3,28,3.1,13,Winter,No Holiday
722.6940881190079,263,-2.4,36,1,20,Winter,No Holiday
604.1684275832758,257,-3.2,47,1.8,21,Winter,No Holiday
472.4187203065256,235,-3.9,52,1.2,22,Winter,No Holiday
-200.61531277877572,102,-5.7,59,0.3,2,Winter,No Holiday
290.2695001211223,303,0.9,37,1.5,12,Winter,No Holiday
433.70432514653004,293,3.2,26,2.2,14,Winter,No Holiday
836.1751722093899,382,2,25,2.3,17,Winter,No Holiday
107.9558884259578,178,-2.6,69,2,23,Winter,No Holiday
14.2527992107585,182,-2.5,69,2.2,0,Winter,No Holiday
-338.80701645682325,123,-3.4,82,4.2,2,Winter,No Holiday
-452.8426847839407,35,-5.6,74,4,4,Winter,No Holiday
-68.48548944601819,144,-8.5,43,4,10,Winter,No Holiday
579.2831997068898,211,-5.6,32,4.6,17,Winter,No Holiday
17.302891162040098,34,-12.4,54,2.5,7,Winter,No Holiday
-29.565000150432596,97,-12.4,51,3.8,9,Winter,No Holiday
227.8015539773587,190,-6.4,30,4.9,15,Winter,No Holiday
-197.99756920155036,52,-11.2,54,1,1,Winter,No Holiday
-140.82958640371663,110,-11.5,40,2.3,6,Winter,No Holiday
126.06052612137611,227,-11.6,44,1.6,7,Winter,No Holiday
-3.834295816326062,123,-9.6,32,3.7,10,Winter,No Holiday
77.77930218591607,156,-8.5,27,4.7,11,Winter,No Holiday
414.70975387035946,199,-5.4,25,3.4,16,Winter,No Holiday
592.3682013797466,225,-6.4,28,4.5,17,Winter,No Holiday
463.0224802625602,438,-12.7,41,3.1,8,Winter,No Holiday
284.64092836819117,171,-5.9,25,3.1,15,Winter,No Holiday
613.7094132318232,251,-8.4,37,4,19,Winter,No Holiday
-60.86531243349945,116,-12.3,47,0.4,0,Winter,No Holiday
-465.9619163268171,45,-13,53,0.7,5,Winter,No Holiday
-9.158147152956055,237,-12,50,1.3,9,Winter,No Holiday
110.15224581225615,176,-7,28,3.3,11,Winter,No Holiday
572.1998556329743,240,-1.7,18,2,16,Winter,No Holiday
384.8789326172516,253,0.9,25,2.4,14,Winter,No Holiday
279.049815018231,195,-4.3,44,0.7,23,Winter,No Holiday
200.4996280596881,199,-1.3,34,0.5,10,Winter,No Holiday
216.8033340625262,193,2,70,0.7,23,Winter,No Holiday
-57.27522187485714,223,1.8,73,2.8,10,Winter,No Holiday
425.60545905395946,286,2.2,24,4.5,14,Winter,No Holiday
583.1418498284326,128,-6.2,32,3.5,22,Winter,No Holiday
292.35654900767577,118,-6.7,35,2.1,23,Winter,No Holiday
54.56486333281473,95,-7,38,2.6,1,Winter,No Holiday
658.5102028302452,81,-9.4,29,1.9,8,Winter,No Holiday
368.5947688915709,127,-5.7,67,2.6,20,Winter,No Holiday
-50.76176527433854,109,-9.5,36,1.5,6,Winter,No Holiday
152.8485829726501,161,-6.7,23,2.4,10,Winter,No Holiday
190.7512214279522,202,-4.6,32,4.2,12,Winter,No Holiday
424.3702877892832,239,-2.4,33,4.5,16,Winter,No Holiday
922.4182196278872,475,-4.4,46,3.5,18,Winter,No Holiday
579.0358604146885,340,-4.9,52,2,19,Winter,No Holiday
